liking,trust,anger,sadness,fear
great,encouraging,hate,fail,hell
love,ideal,pain,sick,hurt
awesome,encourage,kill,disappointment,scam
excellent,flawless,failure,depression,stressful
best,confidence,cancer,ruin,disturbing
free,praise,lousy,suffer,danger
perfect,perfection,crappy,doomed,
loved,comfortable,hurt,harm,
brilliant,thankful,idiot,disgusted,
happy,kudos,wicked,,
fantastic,champion,angry,,
amazing,,pissed,,
super,,sucker,,
wonderful,,disgusting,,
superb,,killing,,
honest,,stinking,,
beautiful,,loser,,
lovely,,irritation,,
outstanding,,curse,,
trust,,torture,,
gain,,disaster,,
inspiration,,retard,,
success,,spite,,
inspire,,,,
pleasure,,,,
inspirational,,,,
tops,,,,
splendid,,,,
enjoyment,,,,
adore,,,,
marvelous,,,,
magnificent,,,,
cheer,,,,
amaze,,,,
fascinating,,,,
bliss,,,,
delightful,,,,
winner,,,,
glorious,,,,
cheering,,,,
grandeur,,,,
blissful,,,,
delight,,,,
