liking,trust,anger,sadness,fear
great,comfortable,pain,sick,hurt
best,confidence,hate,unhealthy,hell
love,encouraging,hurt,fail,scam
awesome,kudos,killing,destroy,disturbing
amazing,thankful,kill,suffer,stressful
super,ideal,wicked,harm,danger
excellent,encourage,cancer,insult,appall
loved,perfection,disgusting,bastard,horrific
perfect,congratulations,idiot,depression,fury
fantastic,flawless,failure,puke,troubling
superb,praise,devil,abuse,fraud
free,champion,loser,ruin,
wonderful,,curse,disappointment,
happy,,dumbass,,
brilliant,,irritation,,
gain,,lousy,,
lovely,,furious,,
beautiful,,appall,,
trust,,torture,,
outstanding,,spite,,
honest,,fury,,
marvelous,,angry,,
success,,sucker,,
inspiration,,,,
tops,,,,
inspirational,,,,
happiness,,,,
winner,,,,
splendid,,,,
pleasure,,,,
inspire,,,,
magnificent,,,,
amaze,,,,
cheerful,,,,
enjoyment,,,,
beloved,,,,
adore,,,,
prize,,,,
blissful,,,,
delectable,,,,
yummy,,,,
glorious,,,,
fascinating,,,,
delicious,,,,
winning,,,,
gracious,,,,
divine,,,,
delightful,,,,
