liking,trust,anger,sadness,fear
great,comfortable,pain,depression,stressful
love,encouraging,hate,suffer,scam
free,ideal,hurt,sick,hurt
best,confidence,kill,fail,hell
amazing,kudos,anger,disappointment,fraud
awesome,encourage,killing,abuse,disturbing
perfect,thankful,cancer,destroy,fury
excellent,praise,idiot,,panic
loved,perfection,failure,,threat
wonderful,flawless,angry,,
fantastic,congratulations,crappy,,
super,champion,dumbass,,
happy,,fury,,
brilliant,,curse,,
beautiful,,disaster,,
lovely,,harassment,,
superb,,,,
outstanding,,,,
gain,,,,
honest,,,,
adore,,,,
trust,,,,
blissful,,,,
pleasure,,,,
success,,,,
bliss,,,,
splendid,,,,
prize,,,,
fascinating,,,,
happiness,,,,
inspiration,,,,
delightful,,,,
inspire,,,,
tops,,,,
marvelous,,,,
delight,,,,
courteous,,,,
jolly,,,,
amaze,,,,
inspirational,,,,
cheerful,,,,
