liking,trust,anger,sadness,fear
love,comfortable,hate,sick,hell
great,praise,pain,fail,stressful
awesome,thankful,cancer,depression,panic
best,ideal,killing,harm,hurt
excellent,encourage,unprofessional,disgusted,dreaded
super,flawless,disgusting,,fraud
amazing,confidence,crappy,,scam
perfect,encouraging,hurt,,terror
wonderful,,sucker,,
free,,harassment,,
happy,,kill,,
fantastic,,lousy,,
loved,,,,
trust,,,,
outstanding,,,,
honest,,,,
brilliant,,,,
success,,,,
lovely,,,,
beautiful,,,,
adore,,,,
superb,,,,
magnificent,,,,
inspire,,,,
