liking,trust,anger,sadness,fear
great,kudos,pain,sick,panic
love,thankful,cancer,depression,troubling
best,comfortable,hate,suffer,hurt
awesome,encouraging,hurt,distress,hell
amazing,confidence,failure,fail,scam
excellent,encourage,killing,unhealthy,stressful
perfect,perfection,kill,harm,disturbing
wonderful,congratulations,angry,abuse,fraud
loved,ideal,anger,destroy,dreaded
super,praise,irritation,heartbreak,threat
fantastic,flawless,wicked,disappointment,
superb,,crappy,ruin,
brilliant,,disaster,,
happy,,pissed,,
free,,lousy,,
lovely,,,,
beautiful,,,,
trust,,,,
outstanding,,,,
honest,,,,
marvelous,,,,
splendid,,,,
fascinating,,,,
magnificent,,,,
gain,,,,
amaze,,,,
adore,,,,
success,,,,
pleasure,,,,
delightful,,,,
happiness,,,,
winner,,,,
glorious,,,,
yummy,,,,
prize,,,,
beloved,,,,
delight,,,,
