liking,trust,anger,sadness,fear
great,thankful,pain,depression,stressful
love,encouraging,anger,suffer,panic
best,comfortable,angry,sick,hurt
free,encourage,hate,unhealthy,disturbing
amazing,confidence,failure,fail,dreaded
wonderful,kudos,cancer,misery,horror
excellent,congratulations,idiot,abuse,
perfect,flawless,spite,insult,
fantastic,perfection,rage,harm,
happy,praise,irritation,doomed,
brilliant,ideal,hurt,distress,
success,,kill,,
loved,,disgusting,,
awesome,,catastrophe,,
beautiful,,anguish,,
super,,horror,,
trust,,raging,,
gain,,,,
honest,,,,
fascinating,,,,
happiness,,,,
superb,,,,
outstanding,,,,
lovely,,,,
enjoyment,,,,
inspire,,,,
inspiration,,,,
brilliance,,,,
marvelous,,,,
rage,,,,
winner,,,,
pleasure,,,,
glee,,,,
optimism,,,,
bliss,,,,
prize,,,,
gracious,,,,
delight,,,,
tops,,,,
splendid,,,,
courteous,,,,
inspirational,,,,
winning,,,,
adore,,,,
