liking,trust,anger,sadness,fear
great,flawless,hate,fail,hell
love,encouraging,pain,sick,scam
best,encourage,kill,disappointment,hurt
free,ideal,failure,ruin,disturbing
awesome,kudos,crappy,suffer,troubling
excellent,perfection,killing,destroy,fraud
perfect,comfortable,wicked,unhealthy,horrendous
amazing,confidence,disgusting,abuse,horrific
fantastic,congratulations,idiot,insult,
brilliant,praise,hurt,disgusted,
happy,thankful,disaster,,
loved,champion,unprofessional,,
super,,lousy,,
superb,,spite,,
wonderful,,cancer,,
lovely,,angry,,
outstanding,,tragedy,,
trust,,rage,,
beautiful,,hatred,,
gain,,pissed,,
honest,,harassed,,
success,,rape,,
inspire,,devil,,
fascinate,,dumbass,,
inspiration,,rotten,,
inspirational,,,,
pleasure,,,,
marvelous,,,,
winning,,,,
tops,,,,
cheer,,,,
winner,,,,
cheering,,,,
splendid,,,,
magnificent,,,,
enjoyment,,,,
happiness,,,,
fondness,,,,
rage,,,,
adore,,,,
amaze,,,,
