liking,trust,anger,sadness,fear
love,encourage,hate,fail,hurt
great,confidence,pain,sick,dreaded
perfect,encouraging,cancer,disappointment,hell
best,thankful,killing,depression,stressful
amazing,comfortable,angry,suffer,danger
awesome,ideal,crappy,unhealthy,scam
loved,flawless,hurt,puke,
super,champion,kill,destroy,
free,perfection,failure,,
happy,kudos,unprofessional,,
excellent,,disaster,,
fantastic,,torture,,
wonderful,,sucker,,
success,,irritation,,
trust,,idiot,,
honest,,,,
outstanding,,,,
cheer,,,,
inspiration,,,,
gain,,,,
cheering,,,,
brilliant,,,,
superb,,,,
beautiful,,,,
tops,,,,
marvelous,,,,
amaze,,,,
adore,,,,
delightful,,,,
