liking,trust,anger,sadness,fear
love,flawless,pain,sick,hurt
great,comfortable,hate,,hell
super,kudos,hurt,,scam
free,perfection,failure,,stressful
awesome,ideal,rage,,dreaded
best,praise,wicked,,threat
loved,thankful,killing,,
amazing,encouraging,harassment,,
excellent,,crappy,,
perfect,,sucker,,
happy,,,,
fantastic,,,,
wonderful,,,,
outstanding,,,,
courteous,,,,
beautiful,,,,
superb,,,,
brilliant,,,,
pleasure,,,,
tops,,,,
honest,,,,
rage,,,,
delightful,,,,
success,,,,
trust,,,,
adore,,,,
winner,,,,
delicious,,,,
gain,,,,
