liking,trust,anger,sadness,fear
love,ideal,hate,sick,stressful
great,encouraging,pain,suffer,scam
free,confidence,kill,fail,hurt
amazing,kudos,hurt,disappointment,hell
awesome,perfection,crappy,ruin,disturbing
best,thankful,angry,destroy,horrendous
loved,encourage,pissed,abuse,
perfect,flawless,sucker,unhealthy,
excellent,,failure,,
happy,,harassment,,
fantastic,,cancer,,
wonderful,,killing,,
super,,idiot,,
beautiful,,loser,,
brilliant,,,,
trust,,,,
lovely,,,,
fascinating,,,,
success,,,,
superb,,,,
outstanding,,,,
affection,,,,
gain,,,,
