liking,trust,anger,sadness,fear
great,kudos,hate,fail,hell
love,flawless,retard,ruin,disturbing
excellent,ideal,torture,,
best,encourage,crappy,,
awesome,confidence,sucker,,
free,comfortable,killing,,
perfect,perfection,,,
amazing,encouraging,,,
happy,,,,
super,,,,
brilliant,,,,
fantastic,,,,
superb,,,,
loved,,,,
wonderful,,,,
beautiful,,,,
gain,,,,
outstanding,,,,
trust,,,,
honest,,,,
lovely,,,,
pleasure,,,,
blissful,,,,
inspiration,,,,
inspire,,,,
happiness,,,,
magnificent,,,,
winner,,,,
fascinating,,,,
adore,,,,
enjoyment,,,,
tops,,,,
