liking,trust,anger,sadness,fear
love,comfortable,hate,suffer,stressful
great,thankful,pain,depression,panic
best,kudos,anger,fail,hell
free,perfection,angry,sick,scam
awesome,ideal,wicked,distress,disturbing
amazing,flawless,hurt,disappointment,hurt
perfect,encourage,kill,ruin,horror
wonderful,encouraging,crappy,unhealthy,danger
excellent,praise,horror,destroy,terror
loved,confidence,cancer,harm,horrific
beautiful,champion,pissed,bastard,fraud
fantastic,congratulations,killing,bankrupt,horrendous
super,,idiot,,
happy,,raging,,
lovely,,disgusting,,
brilliant,,failure,,
superb,,violence,,
outstanding,,torture,,
trust,,spite,,
adore,,irritation,,
honest,,assault,,
bliss,,rage,,
pleasure,,disgust,,
blissful,,,,
happiness,,,,
magnificent,,,,
marvelous,,,,
gain,,,,
winner,,,,
tops,,,,
delightful,,,,
enjoyment,,,,
success,,,,
inspiration,,,,
splendid,,,,
divine,,,,
amaze,,,,
delight,,,,
glorious,,,,
winning,,,,
merry,,,,
amazement,,,,
courteous,,,,
magnificence,,,,
yummy,,,,
cheerful,,,,
prize,,,,
brilliance,,,,
fascinating,,,,
inspirational,,,,
delicious,,,,
beloved,,,,
rage,,,,
