liking,trust,anger,sadness,fear
great,encouraging,hate,sick,hell
love,encourage,kill,depression,disturbing
best,ideal,pain,fail,scam
awesome,confidence,idiot,disappointment,fraud
excellent,kudos,loser,unhealthy,hurt
amazing,comfortable,hurt,ruin,troubling
loved,praise,killing,,danger
super,thankful,disgusting,,
perfect,flawless,furious,,
fantastic,perfection,wicked,,
free,congratulations,pissed,,
wonderful,,angry,,
superb,,lousy,,
happy,,cancer,,
brilliant,,spite,,
lovely,,betray,,
beautiful,,sucker,,
outstanding,,unprofessional,,
trust,,crappy,,
marvelous,,,,
gain,,,,
honest,,,,
inspire,,,,
inspirational,,,,
cheering,,,,
inspiration,,,,
amaze,,,,
cheer,,,,
adore,,,,
happiness,,,,
splendid,,,,
enjoyment,,,,
fascinating,,,,
magnificent,,,,
cheerful,,,,
success,,,,
winning,,,,
prize,,,,
jolly,,,,
delightful,,,,
beloved,,,,
pleasure,,,,
winner,,,,
yummy,,,,
