liking,trust,anger,sadness,fear
love,encouraging,hate,insult,hell
great,encourage,hurt,abuse,hurt
amazing,confidence,disgusting,unhealthy,horror
awesome,kudos,anger,suffer,stressful
free,comfortable,pain,harm,humiliation
super,thankful,kill,depression,
best,ideal,spite,destroy,
loved,praise,pissed,fail,
perfect,,crappy,sick,
beautiful,,hatred,disgusted,
happy,,killing,,
wonderful,,angry,,
honest,,idiot,,
gain,,torture,,
adore,,rage,,
lovely,,horror,,
brilliant,,sucker,,
fantastic,,outraged,,
superb,,lousy,,
trust,,devil,,
excellent,,curse,,
inspiration,,violence,,
rage,,rotten,,
amaze,,loathing,,
inspire,,,,
inspirational,,,,
cheer,,,,
fascinating,,,,
yummy,,,,
winner,,,,
delight,,,,
affection,,,,
magnificent,,,,
outstanding,,,,
cheering,,,,
splendid,,,,
adoring,,,,
dearest,,,,
optimism,,,,
