liking,trust,anger,sadness,fear
love,encourage,hate,sick,scam
great,encouraging,hurt,disappointment,threat
best,thankful,pain,fail,hurt
awesome,kudos,angry,depression,hell
winning,flawless,killing,insult,
amazing,ideal,unprofessional,,
super,congratulations,failure,,
winnings,,,,
perfect,,,,
excellent,,,,
happy,,,,
fantastic,,,,
winner,,,,
loved,,,,
wonderful,,,,
free,,,,
success,,,,
honest,,,,
lovely,,,,
gain,,,,
cheering,,,,
happiness,,,,
amaze,,,,
beautiful,,,,
brilliant,,,,
cheer,,,,
trust,,,,
