liking,trust,anger,sadness,fear
love,encouraging,hate,sick,hell
great,ideal,pain,unhealthy,stressful
best,encourage,crappy,fail,dreaded
free,comfortable,failure,disappointment,fraud
awesome,confidence,loser,doomed,danger
excellent,thankful,cancer,disgusted,scam
amazing,praise,killing,rejection,
super,perfection,kill,insult,
perfect,kudos,spite,,
fantastic,congratulations,wicked,,
happy,flawless,sucker,,
honest,,idiot,,
brilliant,,,,
wonderful,,,,
gain,,,,
loved,,,,
success,,,,
outstanding,,,,
trust,,,,
superb,,,,
beautiful,,,,
lovely,,,,
winner,,,,
inspirational,,,,
inspiration,,,,
delicious,,,,
marvelous,,,,
inspire,,,,
tops,,,,
adore,,,,
winning,,,,
pleasure,,,,
happiness,,,,
splendid,,,,
enjoyment,,,,
brilliance,,,,
yummy,,,,
gracious,,,,
