liking,trust,anger,sadness,fear
love,encouraging,hate,disappointment,hurt
great,confidence,loser,sick,hell
best,thankful,pain,fail,
amazing,ideal,hurt,unhealthy,
awesome,perfection,kill,depression,
perfect,comfortable,failure,,
free,flawless,spite,,
super,kudos,killing,,
happy,praise,torture,,
loved,encourage,cancer,,
fantastic,,curse,,
excellent,,crappy,,
delicious,,,,
wonderful,,,,
gain,,,,
trust,,,,
inspiration,,,,
yummy,,,,
success,,,,
adore,,,,
honest,,,,
winner,,,,
inspirational,,,,
beautiful,,,,
superb,,,,
inspire,,,,
lovely,,,,
magnificent,,,,
cheering,,,,
