liking,trust,anger,sadness,fear
great,kudos,hate,suffer,disturbing
best,thankful,pain,fail,stressful
love,perfection,idiot,,troubling
awesome,flawless,sucker,,
excellent,comfortable,disgusting,,
amazing,confidence,,,
free,ideal,,,
perfect,champion,,,
wonderful,encourage,,,
loved,congratulations,,,
superb,,,,
fantastic,,,,
super,,,,
brilliant,,,,
beautiful,,,,
happy,,,,
outstanding,,,,
lovely,,,,
splendid,,,,
trust,,,,
fascinating,,,,
honest,,,,
gain,,,,
beloved,,,,
magnificent,,,,
merry,,,,
yummy,,,,
happiness,,,,
