liking,trust,anger,sadness,fear
great,encouraging,hate,sick,hell
love,kudos,pain,fail,disturbing
awesome,thankful,hurt,suffer,hurt
best,encourage,failure,unhealthy,stressful
excellent,ideal,angry,depression,scam
perfect,comfortable,cancer,ruin,dreaded
amazing,flawless,idiot,destroy,danger
loved,perfection,killing,harm,horrendous
super,congratulations,kill,misery,
wonderful,confidence,crappy,,
fantastic,praise,spite,,
happy,,curse,,
free,,wicked,,
superb,,dumbass,,
brilliant,,harassed,,
lovely,,unprofessional,,
beautiful,,lousy,,
honest,,disgusting,,
outstanding,,pissed,,
gain,,,,
success,,,,
trust,,,,
adore,,,,
pleasure,,,,
marvelous,,,,
tops,,,,
inspire,,,,
splendid,,,,
inspiration,,,,
magnificent,,,,
amaze,,,,
winning,,,,
inspirational,,,,
cheer,,,,
cheerful,,,,
splendor,,,,
winner,,,,
delightful,,,,
prize,,,,
glorious,,,,
bliss,,,,
fascinating,,,,
happiness,,,,
merry,,,,
delicious,,,,
yummy,,,,
