liking,trust,anger,sadness,fear
love,thankful,pain,depression,stressful
amazing,confidence,disaster,suffer,hell
best,congratulations,killing,,scam
great,comfortable,kill,,
wonderful,encourage,tragedy,,
free,praise,,,
super,encouraging,,,
happy,flawless,,,
awesome,,,,
excellent,,,,
perfect,,,,
loved,,,,
fantastic,,,,
beautiful,,,,
happiness,,,,
outstanding,,,,
gain,,,,
brilliant,,,,
inspire,,,,
bliss,,,,
inspirational,,,,
trust,,,,
blissful,,,,
superb,,,,
inspiration,,,,
success,,,,
winning,,,,
pleasure,,,,
lovely,,,,
honest,,,,
dearest,,,,
