liking,trust,anger,sadness,fear
love,encourage,hate,sick,hurt
great,encouraging,kill,suffer,stressful
super,thankful,killing,unhealthy,hell
amazing,ideal,hurt,fail,panic
awesome,praise,pain,depression,threat
best,congratulations,sucker,disappointment,troubling
happy,kudos,devil,,danger
perfect,flawless,stinking,,
free,perfection,failure,,
wonderful,comfortable,wicked,,
loved,,disgusting,,
fantastic,,unprofessional,,
beautiful,,loser,,
lovely,,,,
adore,,,,
excellent,,,,
honest,,,,
brilliant,,,,
gain,,,,
success,,,,
inspire,,,,
inspiration,,,,
delightful,,,,
inspirational,,,,
cheerful,,,,
happiness,,,,
pleasure,,,,
superb,,,,
tops,,,,
bliss,,,,
trust,,,,
delicious,,,,
outstanding,,,,
magnificent,,,,
fascinating,,,,
marvelous,,,,
beloved,,,,
winning,,,,
cheer,,,,
adoration,,,,
