liking,trust,anger,sadness,fear
love,confidence,pain,sick,hurt
great,encouraging,hate,,stressful
best,comfortable,hurt,,disturbing
amazing,encourage,failure,,hell
awesome,kudos,curse,,scam
loved,praise,killing,,
perfect,congratulations,crappy,,
excellent,thankful,disgusting,,
super,,,,
wonderful,,,,
happy,,,,
free,,,,
fantastic,,,,
superb,,,,
brilliant,,,,
beautiful,,,,
lovely,,,,
gain,,,,
trust,,,,
honest,,,,
outstanding,,,,
pleasure,,,,
adore,,,,
cheer,,,,
fascinating,,,,
fascinate,,,,
inspiration,,,,
success,,,,
