liking,trust,anger,sadness,fear
great,kudos,pain,fail,hell
love,flawless,hate,disappointment,fraud
free,perfection,kill,suffer,horrific
excellent,thankful,failure,abuse,
best,ideal,disgusting,sick,
awesome,congratulations,irritation,,
amazing,comfortable,idiot,,
perfect,,disaster,,
wonderful,,crappy,,
loved,,killing,,
fantastic,,raging,,
happy,,,,
super,,,,
outstanding,,,,
brilliant,,,,
superb,,,,
beautiful,,,,
lovely,,,,
success,,,,
trust,,,,
marvelous,,,,
fascinate,,,,
splendid,,,,
tops,,,,
glorious,,,,
pleasure,,,,
