liking,trust,anger,sadness,fear
love,encouraging,hate,sick,disturbing
great,thankful,pain,fail,panic
awesome,comfortable,disgusting,disappointment,hell
best,kudos,kill,disgusted,stressful
amazing,congratulations,harassed,abuse,hurt
loved,confidence,angry,,
wonderful,encourage,pissed,,
super,ideal,failure,,
excellent,perfection,idiot,,
perfect,champion,rotten,,
happy,praise,shitty,,
free,flawless,hurt,,
lovely,,unprofessional,,
fantastic,,,,
beautiful,,,,
brilliant,,,,
superb,,,,
trust,,,,
gain,,,,
adore,,,,
fascinating,,,,
splendid,,,,
marvelous,,,,
delightful,,,,
delight,,,,
bliss,,,,
prize,,,,
winner,,,,
inspiration,,,,
inspirational,,,,
cheerful,,,,
magnificent,,,,
honest,,,,
winning,,,,
happiness,,,,
courteous,,,,
amaze,,,,
cheer,,,,
glorious,,,,
inspire,,,,
success,,,,
