liking,trust,anger,sadness,fear
great,encouraging,hate,fail,hell
love,ideal,disgusting,sick,scam
awesome,kudos,kill,disappointment,hurt
best,flawless,pain,ruin,horrendous
excellent,encourage,crappy,destroy,
amazing,perfection,lousy,suffer,
perfect,confidence,killing,insult,
free,comfortable,hurt,abuse,
super,thankful,pissed,puke,
loved,praise,dumbass,,
fantastic,congratulations,idiot,,
superb,champion,wicked,,
happy,,spite,,
brilliant,,,,
wonderful,,,,
beautiful,,,,
lovely,,,,
outstanding,,,,
trust,,,,
marvelous,,,,
success,,,,
gain,,,,
honest,,,,
pleasure,,,,
splendid,,,,
winner,,,,
delight,,,,
inspiration,,,,
adore,,,,
magnificent,,,,
tops,,,,
amazement,,,,
brilliance,,,,
inspirational,,,,
inspire,,,,
prize,,,,
courteous,,,,
