liking,trust,anger,sadness,fear
great,confidence,hate,fail,hell
best,ideal,kill,disappointment,scam
love,praise,pain,insult,stressful
excellent,flawless,disaster,sick,threat
free,perfection,idiot,disgusted,fraud
brilliant,congratulations,failure,destroy,
fantastic,encourage,lousy,,
perfect,comfortable,irritation,,
awesome,,wicked,,
amazing,,killing,,
superb,,,,
happy,,,,
super,,,,
outstanding,,,,
loved,,,,
wonderful,,,,
pleasure,,,,
trust,,,,
lovely,,,,
beautiful,,,,
gain,,,,
fascinating,,,,
winner,,,,
honest,,,,
enjoyment,,,,
splendid,,,,
success,,,,
cheer,,,,
merry,,,,
brilliance,,,,
tops,,,,
marvelous,,,,
